Date,Close,Volume,Open,High,Low,Company,day,month,year,quarter
4/27/2022,135.1,13855920,130.815,138.11,130.66,Qualcomm Incorporated,27,4,2022,2
4/26/2022,133.5,9262820,135.02,136.35,132.63,Qualcomm Incorporated,26,4,2022,2
4/25/2022,136.56,9673241,131.32,136.81,130.91,Qualcomm Incorporated,25,4,2022,2
4/22/2022,132.81,8315141,136.13,137.3319,132.65,Qualcomm Incorporated,22,4,2022,2
4/21/2022,136.11,8576484,142.34,143.6426,135.26,Qualcomm Incorporated,21,4,2022,2
4/20/2022,140.34,7731575,143.21,144.81,140.06,Qualcomm Incorporated,20,4,2022,2
4/19/2022,141.05,7213805,138.83,141.4,137.54,Qualcomm Incorporated,19,4,2022,2
4/18/2022,139.32,8785714,135.62,140.35,135.56,Qualcomm Incorporated,18,4,2022,2
4/14/2022,136.91,8002591,141.05,141.56,136.68,Qualcomm Incorporated,14,4,2022,2
4/13/2022,140.5,10440840,137.54,142.59,136.48,Qualcomm Incorporated,13,4,2022,2
4/12/2022,136.09,10591330,137.92,140.16,135.5,Qualcomm Incorporated,12,4,2022,2
4/11/2022,135.36,11210360,134.292,137.61,133.69,Qualcomm Incorporated,11,4,2022,2
4/8/2022,136.69,12992460,138.54,139.96,136.36,Qualcomm Incorporated,8,4,2022,2
4/7/2022,139.22,10201210,139.79,141.49,136.92,Qualcomm Incorporated,7,4,2022,2
4/6/2022,139.28,21054220,142.9,143,137.46,Qualcomm Incorporated,6,4,2022,2
4/5/2022,145.46,15946150,151.81,152.01,145.27,Qualcomm Incorporated,5,4,2022,2
4/4/2022,153.81,12143570,147.74,154.13,146.66,Qualcomm Incorporated,4,4,2022,2
4/1/2022,146.99,19762140,151.94,152.87,142.5648,Qualcomm Incorporated,1,4,2022,2
3/31/2022,152.82,13364240,152.885,155.14,151.03,Qualcomm Incorporated,31,3,2022,1
3/30/2022,152.73,14777760,159.39,160.27,151.79,Qualcomm Incorporated,30,3,2022,1
3/29/2022,161.07,10212360,161.21,161.3,156.65,Qualcomm Incorporated,29,3,2022,1
3/28/2022,158.45,9470796,156.5,158.5,154.05,Qualcomm Incorporated,28,3,2022,1
3/25/2022,157.97,7203782,157.97,158.46,155.18,Qualcomm Incorporated,25,3,2022,1
3/24/2022,158.46,9261010,154.3,158.56,153.59,Qualcomm Incorporated,24,3,2022,1
3/23/2022,152.87,7245568,156.11,157.21,152.58,Qualcomm Incorporated,23,3,2022,1
3/22/2022,157.61,7220508,155.45,159.94,154.77,Qualcomm Incorporated,22,3,2022,1
3/21/2022,155.59,8986357,153.99,157.71,152.81,Qualcomm Incorporated,21,3,2022,1
3/18/2022,153.99,18454200,152.52,156.03,149.01,Qualcomm Incorporated,18,3,2022,1
3/17/2022,152.83,8602938,149.19,152.94,146.58,Qualcomm Incorporated,17,3,2022,1
3/16/2022,150.45,11727730,146.965,151.56,143.57,Qualcomm Incorporated,16,3,2022,1
3/15/2022,144.21,13892970,142.5,144.43,139.05,Qualcomm Incorporated,15,3,2022,1
3/14/2022,141.29,16154170,150.8,151.29,140.465,Qualcomm Incorporated,14,3,2022,1
3/11/2022,152.34,7394419,157.95,158.32,152.02,Qualcomm Incorporated,11,3,2022,1
3/10/2022,154.71,8888772,154.04,155.3,150.33,Qualcomm Incorporated,10,3,2022,1
3/9/2022,157.11,9276774,156.01,158.48,154.17,Qualcomm Incorporated,9,3,2022,1
